id,name,operator,state,country_name,record_type,lat,lon,coord_precision,capacity_mw,capacity_type,status,status_as_of,power_generation,power_model,provenance,transformation,confidence,primary_source_url,primary_source_publisher
microsoft-uk-ai-datacenters-2023,"Microsoft UK AI datacenter expansion (London, Wales, N. England)",Microsoft,GB,United Kingdom,capex_program,,,country,,unspecified,announced,2023-11,Grid power,Grid,operator,reported,high,https://blogs.microsoft.com/on-the-issues/2023/11/30/uk-ai-skilling-security-datacenters-investment/,Microsoft (On the Issues blog)
aws-european-sovereign-cloud-brandenburg,"AWS European Sovereign Cloud Region (Brandenburg, Germany)",Amazon Web Services (AWS),DE,Germany,capex_program,,,region,,unspecified,operational,2026-01,Grid power,Grid,operator,reported,high,https://www.aboutamazon.eu/news/aws/aws-plans-to-invest-7-8-billion-into-the-aws-european-sovereign-cloud,Amazon (aboutamazon.eu)
aws-aragon-spain-region,AWS Europe (Spain) Region (Aragon: Zaragoza / Huesca / Teruel),Amazon Web Services (AWS),ES,Spain,capex_program,41.6488,-0.8891,region,,unspecified,operational,2026-03,Grid power; AWS funding water-replenishment projects in Aragon,Grid,operator,reported,high,https://www.aboutamazon.eu/news/job-creation-and-investment/aws-plans-to-invest-15-7-billion-in-spain-supporting-the-creation-of-17-500-jobs-annually-in-local-businesses,Amazon (aboutamazon.eu)
aws-uk-data-centres-2024-2028,AWS UK data centres (London / Manchester Region),Amazon Web Services (AWS),GB,United Kingdom,capex_program,,,country,,unspecified,construction,2024-09,Grid power,Grid,operator,reported,high,https://www.aboutamazon.co.uk/news/job-creation-and-investment/aws-plans-to-invest-8-billion-in-the-uk,Amazon (aboutamazon.co.uk)
google-st-ghislain-belgium,"Google St-Ghislain data center campus (Wallonia, Belgium)",Google,BE,Belgium,capex_program,50.4667,3.8167,city,,unspecified,operational,2025-10,Grid power; Google-backed onshore wind/solar PPAs plus on-site solar,Grid,operator,reported,high,https://www.googlecloudpresscorner.com/2025-10-07-Google-Announces-New-EUR5-Billion-AI-Infrastructure-Investment-in-Belgium-through-2027,Google (Cloud Press Corner)
google-eemshaven-netherlands,Google Eemshaven / Groningen data center campus (Netherlands),Google,NL,Netherlands,capex_program,53.4386,6.8333,city,,unspecified,operational,2025-11,Grid power matched 100% with renewable purchases since 2017; on-site solar at newer sites,Grid,operator,reported,high,https://datacenters.google/locations/eemshaven-netherlands-var/,Google
google-waltham-cross-uk,"Google Waltham Cross data center (Hertfordshire, UK)",Google,GB,United Kingdom,capex_program,51.6859,-0.0327,city,,unspecified,operational,2025-09,Grid power; air-based cooling; provisions for off-site heat recovery; Moray West wind PPA (100 MW),Grid,operator,reported,high,https://blog.google/around-the-globe/google-europe/united-kingdom/google-1-billion-investment-in-a-new-uk-data-centre/,Google
google-hamina-finland,Google Hamina (Summa) data center campus (Finland),Google,FI,Finland,capex_program,60.5697,27.1972,city,,unspecified,announced,2024-05,Grid power; seawater cooling; heat recovery with Haminan Energia for district heating,Grid,government,reported,high,https://www.businessfinland.com/news/2024/google-to-expand-its-data-center-in-finland/,Business Finland
meta-talavera-de-la-reina-spain,"Meta Talavera de la Reina Data Center (Torrehierro, Castilla-La Mancha)",Meta Platforms,ES,Spain,capex_program,39.96,-4.83,city,,unspecified,planned,2024-11,Grid power; mechanical cooling for 24/7 operation,Grid,trade_press,reported,medium,https://www.datacenterdynamics.com/en/news/meta-plans-1bn-data-center-in-toledo-spain/,Data Center Dynamics
meta-odense-denmark,"Meta Odense Data Center (Tietgenbyen, Odense)",Meta Platforms,DK,Denmark,campus,55.38,10.46,city,294,total_power,operational,2021-12,294 MW renewable from two wind projects; heat recovery to Odense district heating,Grid,trade_press,reported,high,https://datacenters.atmeta.com/2020/10/we-are-expanding-facebooks-odense-data-center/,Meta Data Centers (atmeta.com)
mgx-bpifrance-nvidia-mistral-paris-1-4gw-campus,"Europe's largest AI campus, Paris region (MGX / Bpifrance / Nvidia / Mistral AI JV)","MGX, Bpifrance, Mistral AI, NVIDIA (with Bouygues, EDF, RTE)",FR,France,campus,,,region,1400,total_power,announced,2025-05,"Low-carbon French grid (nuclear), with RTE/EDF as ecosystem partners",Grid,operator,reported,medium,https://www.polytechnique.edu/en/press-room/press-releases/mgx-bpifrance-mistral-ai-and-nvidia-launch-joint-venture-build-europes-largest-ai-campus-france,Ecole Polytechnique
mistral-eclairion-bruyeres-le-chatel-44mw,"Mistral AI flagship data center, Bruyeres-le-Chatel (operated by Eclairion)",Mistral AI (data center operated by Eclairion),FR,France,campus,48.62,2.17,city,44,total_power,construction,2026-03,"French grid, predominantly nuclear / low-carbon",Grid,trade_press,reported,high,https://www.datacenterdynamics.com/en/news/mistral-ai-raises-830m-in-debt-financing-for-data-center-in-paris-france/,Data Center Dynamics
microsoft-france-4bn-cloud-ai-2024,Microsoft France EUR 4bn cloud & AI investment (Mulhouse / Paris / Marseille),Microsoft,FR,France,capex_program,,,region,,unspecified,announced,2024-05,"French grid, predominantly nuclear",Grid,operator,reported,high,https://news.microsoft.com/fr-fr/2024/05/13/microsoft-announces-the-largest-investment-to-date-in-france-to-accelerate-the-adoption-of-ai-skilling-and-innovation/,Microsoft News Center
eu-ai-gigafactories-investai,"EU AI Gigafactories (InvestAI, EU-wide)",European Commission / EuroHPC Joint Undertaking,EU,European Union,policy_program,,,country,,unspecified,announced,2025-12,Not specified; sites to be selected,Unknown,government,reported,high,https://commission.europa.eu/topics/competitiveness/competitiveness-coordination-tool-projects/ai-gigafactories_en,European Commission
start-campus-sines-portugal,"Start Campus SINES Data Campus / SIN01 (Sines, Portugal)","Start Campus (backed by Davidson Kempner, Pioneer Point Partners)",PT,Portugal,campus,37.95,-8.87,city,1200,total_power,construction,2025-04,"100% renewable energy; seawater cooling, design PUE 1.1, WUE 0",Grid,operator,reported,high,https://www.startcampus.pt/start-campus-inaugurates-sin01-data-center,Start Campus
nebius-mantsala-finland,"Nebius Mantsala Data Center (Mantsala, Finland)",Nebius (formerly Yandex N.V.),FI,Finland,campus,60.63,25.32,city,75,total_power,construction,2024-10,"Grid power; PUE as low as 1.1, free cooling + heat recovery (~20,000 MWh/yr)",Grid,operator,reported,high,https://nebius.com/newsroom/nebius-to-triple-capacity-at-finland-data-center-to-75-mw,Nebius
ntt-fra6-nierstein-germany,"NTT FRA6 Data Center Campus (Nierstein / Rhein-Selz, Germany)",NTT Global Data Centers (NTT GDC),DE,Germany,campus,49.87,8.34,city,482,total_power,planned,2025-12,Targeted 100% renewable via PPAs; adjacent SelzEnergie wind farm planned,Grid,trade_press,reported,high,https://www.datacenterdynamics.com/en/news/ntt-gains-council-approval-for-482mw-data-center-campus-in-nierstein-germany/,Data Center Dynamics
igenius-colosseum-southern-italy,"Colosseum AI Supercomputer (iGenius, Southern Italy)","iGenius, with NVIDIA and Vertiv",IT,Italy,campus,,,region,7,it_critical_load,planned,2025-04,Powered by surplus regional renewable energy; 132kW liquid-cooled racks,Grid,operator,reported,medium,https://www.vertiv.com/en-emea/about/news-and-insights/news-releases/igenius-launches-one-of-the-worlds-largest-sovereign-ai-data-centers-leveraging-vertiv-infrastructure-nvidia-accelerated-computing-and-omniverse/,Vertiv
microsoft-grange-castle-dublin,Microsoft Grange Castle Campus (Dublin),Microsoft,IE,Ireland,campus,53.3079,-6.4361,city,,unspecified,construction,2022-12,Grid (EirGrid) + on-site 170MW standby gas plant,Grid,trade_press,reported,medium,https://www.datacenterdynamics.com/en/news/microsoft-planning-170mw-gas-power-plant-at-dublin-campus/,Data Center Dynamics
echelon-dub20-arklow-wicklow,"Echelon DUB20 Campus (Arklow, Co. Wicklow)",Echelon Data Centres,IE,Ireland,campus,52.795,-6.14,city,200,it_critical_load,construction,2025-09,Grid (220kV substation) + on-site 293MW biogas plant + adjacent wind farm,Grid,trade_press,reported,medium,https://www.datacenterdynamics.com/en/news/irelands-echelon-breaks-ground-at-200mw-county-wicklow-data-center-campus-outside-dublin/,Data Center Dynamics
